date,data
2022-01-01,
2022-01-02,59
2022-01-03,60
2022-01-04,114
2022-01-05,57
2022-01-06,116
2022-01-07,118
2022-01-08,61
2022-01-09,116
2022-01-10,57
2022-01-11,121
2022-01-12,121
2022-01-13,117
2022-01-14,57
2022-01-15,121
2022-01-16,114
2022-01-17,128
2022-01-18,117
2022-01-19,117
2022-01-20,120
2022-01-21,58
2022-01-22,59
2022-01-23,57
2022-01-24,57
2022-01-25,116
2022-01-26,57
2022-01-27,63
2022-01-28,115
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,57
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,59
2022-02-07,61
2022-02-08,59
2022-02-09,63
2022-02-10,60
2022-02-11,127
2022-02-12,57
2022-02-13,60
2022-02-14,64
2022-02-15,64
2022-02-16,115
2022-02-17,117
2022-02-18,114
2022-02-19,57
2022-02-20,58
2022-02-21,114
2022-02-22,57
2022-02-23,61
2022-02-24,
2022-02-25,63
2022-02-26,
2022-02-27,
2022-02-28,59
2022-03-01,120
2022-03-02,
2022-03-03,60
2022-03-04,59
2022-03-05,117
2022-03-06,118
2022-03-07,117
2022-03-08,123
2022-03-09,114
2022-03-10,118
2022-03-11,59
2022-03-12,118
2022-03-13,114
2022-03-14,57
2022-03-15,114
2022-03-16,119
2022-03-17,
2022-03-18,57
2022-03-19,58
2022-03-20,
2022-03-21,63
2022-03-22,57
2022-03-23,116
2022-03-24,57
2022-03-25,63
2022-03-26,57
2022-03-27,
2022-03-28,
2022-03-29,58
2022-03-30,114
2022-03-31,57
2022-04-01,114
2022-04-02,118
2022-04-03,
2022-04-04,57
2022-04-05,
2022-04-06,115
2022-04-07,
2022-04-08,57
2022-04-09,
2022-04-10,
2022-04-11,57
2022-04-12,
2022-04-13,115
2022-04-14,119
2022-04-15,57
2022-04-16,57
2022-04-17,57
2022-04-18,116
2022-04-19,57
2022-04-20,57
2022-04-21,
2022-04-22,57
2022-04-23,57
2022-04-24,
2022-04-25,114
2022-04-26,57
2022-04-27,
2022-04-28,57
2022-04-29,117
2022-04-30,117
2022-05-01,57
2022-05-02,61
2022-05-03,
2022-05-04,
2022-05-05,
2022-05-06,
2022-05-07,115
2022-05-08,57
2022-05-09,57
2022-05-10,114
2022-05-11,59
2022-05-12,121
2022-05-13,120
2022-05-14,
2022-05-15,
2022-05-16,57
2022-05-17,57
2022-05-18,57
2022-05-19,115
2022-05-20,58
2022-05-21,
2022-05-22,60
2022-05-23,58
2022-05-24,115
2022-05-25,114
2022-05-26,
2022-05-27,59
2022-05-28,59
2022-05-29,61
2022-05-30,57
2022-05-31,57
2022-06-01,57
2022-06-02,
2022-06-03,
2022-06-04,
2022-06-05,
2022-06-06,58
2022-06-07,57
2022-06-08,57
2022-06-09,60
2022-06-10,114
2022-06-11,57
2022-06-12,65
2022-06-13,114
2022-06-14,
2022-06-15,60
2022-06-16,59
2022-06-17,114
2022-06-18,59
2022-06-19,58
2022-06-20,117
2022-06-21,61
2022-06-22,59
2022-06-23,
2022-06-24,
2022-06-25,57
2022-06-26,
2022-06-27,57
2022-06-28,59
2022-06-29,
2022-06-30,57
2022-07-01,57
2022-07-02,57
2022-07-03,
2022-07-04,
2022-07-05,57
2022-07-06,
2022-07-07,57
2022-07-08,57
2022-07-09,58
2022-07-10,
2022-07-11,57
2022-07-12,
2022-07-13,57
2022-07-14,
2022-07-15,57
2022-07-16,
2022-07-17,57
2022-07-18,59
2022-07-19,116
2022-07-20,57
2022-07-21,119
2022-07-22,59
2022-07-23,114
2022-07-24,57
2022-07-25,57
2022-07-26,57
2022-07-27,
2022-07-28,
2022-07-29,57
2022-07-30,
2022-07-31,
2022-08-01,57
2022-08-02,57
2022-08-03,57
2022-08-04,
2022-08-05,61
2022-08-06,
2022-08-07,
2022-08-08,59
2022-08-09,61
2022-08-10,114
2022-08-11,57
2022-08-12,
2022-08-13,
2022-08-14,57
2022-08-15,120
2022-08-16,57
2022-08-17,57
2022-08-18,59
2022-08-19,57
2022-08-20,
2022-08-21,
2022-08-22,57
2022-08-23,118
2022-08-24,57
2022-08-25,115
2022-08-26,114
2022-08-27,
2022-08-28,57
2022-08-29,57
2022-08-30,
2022-08-31,
2022-09-01,57
2022-09-02,57
2022-09-03,
2022-09-04,57
2022-09-05,
2022-09-06,114
2022-09-07,
2022-09-08,57
2022-09-09,115
2022-09-10,
2022-09-11,
2022-09-12,
2022-09-13,116
2022-09-14,
2022-09-15,59
2022-09-16,
2022-09-17,
2022-09-18,
2022-09-19,114
2022-09-20,115
2022-09-21,115
2022-09-22,57
2022-09-23,
2022-09-24,
2022-09-25,57
2022-09-26,
2022-09-27,59
2022-09-28,
2022-09-29,
2022-09-30,57
2022-10-01,
2022-10-02,58
2022-10-03,
2022-10-04,
2022-10-05,
2022-10-06,
2022-10-07,
2022-10-08,
2022-10-09,
2022-10-10,57
2022-10-11,57
2022-10-12,
2022-10-13,
2022-10-14,57
2022-10-15,
2022-10-16,118
2022-10-17,
2022-10-18,58
2022-10-19,69
2022-10-20,
2022-10-21,
2022-10-22,57
2022-10-23,
2022-10-24,57
2022-10-25,
2022-10-26,57
2022-10-27,57
2022-10-28,
2022-10-29,57
2022-10-30,
2022-10-31,57
2022-11-01,57
2022-11-02,
2022-11-03,57
2022-11-04,57
2022-11-05,
2022-11-06,57
2022-11-07,
2022-11-08,57
2022-11-09,
2022-11-10,
2022-11-11,
2022-11-12,
2022-11-13,58
2022-11-14,57
2022-11-15,61
2022-11-16,
2022-11-17,59
2022-11-18,
2022-11-19,59
2022-11-20,
2022-11-21,
2022-11-22,
2022-11-23,57
2022-11-24,115
2022-11-25,
2022-11-26,
2022-11-27,59
2022-11-28,57
2022-11-29,57
2022-11-30,57
2022-12-01,57
2022-12-02,57
2022-12-03,
2022-12-04,
2022-12-05,
2022-12-06,114
2022-12-07,59
2022-12-08,
2022-12-09,
2022-12-10,57
2022-12-11,
2022-12-12,57
2022-12-13,115
2022-12-14,117
2022-12-15,120
2022-12-16,57
2022-12-17,
2022-12-18,
2022-12-19,59
2022-12-20,116
2022-12-21,
2022-12-22,
2022-12-23,
2022-12-24,
2022-12-25,
2022-12-26,
2022-12-27,114
2022-12-28,57
2022-12-29,
2022-12-30,
2022-12-31,
